"Показатель","ДЭБ","ДИБ","ДАФ","ДБПиО","Москва","Белгородская область","Брянская область","Владимирская область","Воронежская область","Ивановская область","Калужская область","Костромская область","Курская область","Липецкая область","Орловская область","Рязанская область","Смоленская область","Тамбовская область","Тверская область","Тульская область","Ярославская область","Санкт-Петербург","Вологодская область","Калининградская область","Мурманская область","Новгородская область","Псковская область","Республика Карелия","Республика Коми","Архангельская область","Кировская область","Оренбургская область","Самарская область","Саратовская область","Нижегородская область","Пензенская область","Пермский край","Республика Башкортостан","Республика Марий Эл","Республика Мордовия","Республика Татарстан","Удмуртская Республика","Ульяновская область","Чувашская Республика","Краснодар","Сочи","Новороссийск","Ростов","Ставрополь","Волгоград","Астрахань","Алания","Ингушетия","КБР","КЧР","Дагестан","Чечня","Свердловская область","ХМАО-Югра","Челябинская область","Тюменская область","Курган","ЯНАО","Новосибирская область","Омская область","Томская область","Алтайский край","Республика Алтай","Красноярский край","Кемеровская область","Республика Хакасия","Республика Тыва","Иркутская область","Хабаровский край","Приморский край","Амурская область","Магаданская область","Республика Саха (Якутия)","Камчатский край","Сахалинская область","Забайкальский край","Республика Бурятия","Итого ПАО МТС"
"Проведено служебных проверок и расследований по РП-053",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,3567
"Проведено служебных расследований (СР)",6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,3642
"Проведено служебных проверок (СП)",9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80,83,86,89,92,95,1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,3717
"Проведено служебных проверок по ИБ (СП ИБ)",12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,2,6,10,14,18,22,26,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,94,1,5,9,13,17,21,25,29,33,37,41,45,3792
"Общее количество СП, СП ИБ и СР с выявленными нарушениями",15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,3,8,13,18,23,28,33,38,43,48,53,58,63,68,73,78,83,88,93,1,6,11,16,21,26,31,36,41,46,51,56,61,66,71,76,81,86,91,96,4,9,14,19,24,29,34,39,44,49,54,59,64,69,74,79,84,89,94,2,7,12,17,22,27,32,3867
"Проведено проверочных мероприятий (ПМ) в рамках операционной деятельности",18,24,30,36,42,48,54,60,66,72,78,84,90,96,5,11,17,23,29,35,41,47,53,59,65,71,77,83,89,95,4,10,16,22,28,34,40,46,52,58,64,70,76,82,88,94,3,9,15,21,27,33,39,45,51,57,63,69,75,81,87,93,2,8,14,20,26,32,38,44,50,56,62,68,74,80,86,92,1,7,13,19,3942
"Выявлен ущерб (руб.)",21,28,35,42,49,56,63,70,77,84,91,1,8,15,22,29,36,43,50,57,64,71,78,85,92,2,9,16,23,30,37,44,51,58,65,72,79,86,93,3,10,17,24,31,38,45,52,59,66,73,80,87,94,4,11,18,25,32,39,46,53,60,67,74,81,88,95,5,12,19,26,33,40,47,54,61,68,75,82,89,96,6,4017
"Возмещен ущерб (руб.)",24,32,40,48,56,64,72,80,88,96,7,15,23,31,39,47,55,63,71,79,87,95,6,14,22,30,38,46,54,62,70,78,86,94,5,13,21,29,37,45,53,61,69,77,85,93,4,12,20,28,36,44,52,60,68,76,84,92,3,11,19,27,35,43,51,59,67,75,83,91,2,10,18,26,34,42,50,58,66,74,82,90,4092
"Предотвращен ущерб (руб.)",27,36,45,54,63,72,81,90,2,11,20,29,38,47,56,65,74,83,92,4,13,22,31,40,49,58,67,76,85,94,6,15,24,33,42,51,60,69,78,87,96,8,17,26,35,44,53,62,71,80,89,1,10,19,28,37,46,55,64,73,82,91,3,12,21,30,39,48,57,66,75,84,93,5,14,23,32,41,50,59,68,77,3973
"Получен дополнительный доход (руб.)",30,40,50,60,70,80,90,3,13,23,33,43,53,63,73,83,93,6,16,26,36,46,56,66,76,86,96,9,19,29,39,49,59,69,79,89,2,12,22,32,42,52,62,72,82,92,5,15,25,35,45,55,65,75,85,95,8,18,28,38,48,58,68,78,88,1,11,21,31,41,51,61,71,81,91,4,14,24,34,44,54,64,3951
